# Accelerometer Data File
# Started @Tue Jan 26 20:13:58 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-2.059 6.885 2.001 5
-1.934 6.895 1.886 5
-1.675 6.981 1.857 6
-1.532 6.943 2.001 5
-1.369 7.058 2.087 4
-1.292 6.981 2.25 5
-1.225 6.971 2.403 5
-1.168 6.78 2.614 5
-1.273 6.493 2.834 6
-1.254 6.215 3.093 5
-1.264 6.09 3.562 4
-1.312 5.995 3.916 5
-1.283 5.889 4.261 5
-1.158 5.822 4.481 5
-0.833 5.602 4.635 6
-0.708 5.439 4.692 4
-0.603 5.401 4.568 5
-0.325 5.477 4.453 5
-0.095 5.391 4.328 5
0.162 5.372 4.041 6
0.43 5.324 3.869 5
0.507 5.439 3.581 4
0.574 5.544 3.543 5
0.469 5.746 3.524 5
0.354 5.908 3.677 5
0.143 5.995 4.175 6
-0.028 6.129 4.96 5
-0.239 6.071 5.363 4
-0.526 5.937 5.861 5
-0.785 5.746 6.368 5
-1.149 5.525 6.751 5
-1.321 5.305 7.067 6
-1.455 4.941 6.981 4
-1.522 4.635 6.713 5
-1.474 4.098 6.521 6
-1.321 3.495 6.234 4
-1.168 3.026 5.861 6
-1.015 2.786 5.382 5
-0.833 2.901 4.912 4
-0.651 3.265 4.596 5
-0.373 3.782 4.376 5
-0.047 4.376 4.395 5
0.296 4.903 4.817 6
0.488 5.276 5.257 5
0.67 5.659 6.56 4
0.766 5.832 7.996 5
0.737 5.746 8.963 5
0.555 5.353 10.074 6
0.258 5.008 11.08 5
-0.296 4.826 11.76 4
-0.737 4.242 12.2 5
-1.168 3.677 12.162 5
-1.34 3.083 11.616 5
-1.359 2.604 10.917 6
-1.34 2.126 10.084 5
-1.11 1.541 9.165 4
-0.756 1.063 7.795 5
-0.258 0.555 6.924 5
0.191 0.574 6.215 5
0.469 1.082 5.774 6
0.852 2.011 5.793 4
0.957 3.275 6.205 5
1.034 4.606 7.402 5
1.58 5.765 8.542 5
2.375 6.138 9.854 6
2.997 6.1 11.166 5
3.428 5.65 12.507 4
3.447 5.133 13.972 5
2.825 4.951 15.073 5
2.183 4.165 15.868 5
1.723 3.533 16.251 6
1.063 3.055 15.945 5
0.277 2.767 15.351 4
0.153 2.202 14.48 5
-0.134 1.733 12.66 5
-0.402 1.225 11.463 5
0.392 0.306 10.084 6
1.484 -0.411 9.662 4
1.312 -0.268 8.226 5
1.149 -0.028 7.029 5
0.861 0.622 6.081 5
0.201 1.857 5.688 6
-0.306 2.959 5.43 5
-0.785 3.926 5.161 4
-1.11 4.491 5.2 5
-1.244 4.654 5.238 5
-1.34 4.548 5.477 5
-1.264 4.031 6.11 6
-0.938 3.524 6.703 5
-0.488 2.882 7.422 4
0.105 2.327 8.331 5
0.545 1.991 9.05 5
0.871 1.541 9.605 5
0.919 1.072 9.94 6
1.034 0.612 10.017 4
1.063 0.306 9.835 5
0.852 0.067 9.548 5
0.363 0.028 9.03 5
0.316 0.411 8.868 6
0.0 1.264 9.069 5
-0.814 1.867 9.538 4
-1.407 2.03 10.304 5
-1.388 1.944 11.291 5
-1.053 1.608 12.047 5
-0.603 1.149 12.794 6
-0.718 1.053 13.359 5
-0.545 0.622 13.474 4
-0.708 0.622 13.359 5
-0.43 0.162 12.957 5
-0.392 0.009 12.564 6
-0.172 -0.316 11.951 5
0.038 -0.804 11.032 4
0.306 -1.101 10.304 5
0.689 -1.273 9.423 5
1.015 -1.273 8.705 5
1.369 -1.235 8.101 6
1.886 -1.168 7.402 5
2.48 -1.197 6.904 4
3.007 -1.216 6.435 5
3.122 -1.206 6.205 5
3.323 -1.101 6.512 5
3.351 -1.072 6.981 6
3.227 -1.034 7.814 4
2.662 -0.718 9.404 5
2.059 -0.545 10.687 5
2.116 -0.957 11.511 5
2.087 -1.244 12.191 6
2.336 -1.695 12.698 5
2.557 -2.078 13.187 4
2.844 -2.394 13.436 5
3.351 -2.576 13.579 5
3.169 -2.489 13.455 5
3.811 -2.738 13.014 6
3.993 -2.815 12.229 5
4.213 -3.016 11.396 4
4.165 -3.15 10.534 5
4.28 -3.38 9.5 5
4.453 -3.61 8.762 5
4.491 -3.744 8.111 6
4.539 -3.792 7.852 4
4.606 -3.83 7.939 5
