# Accelerometer Data File
# Started @Tue Jan 26 20:12:48 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.44 5.391 8.341 5
0.44 5.42 8.456 5
0.459 5.391 8.437 5
0.421 5.391 8.485 5
0.402 5.391 8.456 5
0.383 5.401 8.427 5
0.392 5.343 8.456 5
0.383 5.382 8.293 5
0.344 5.439 8.245 5
0.363 5.382 8.14 5
0.363 5.372 8.111 5
0.344 5.372 8.111 5
0.344 5.363 7.977 5
0.325 5.401 7.948 5
0.306 5.391 7.872 5
0.277 5.324 7.91 5
0.21 5.324 7.92 5
0.258 5.334 7.967 5
0.124 5.391 7.977 5
0.153 5.295 8.054 5
0.134 5.276 8.245 5
0.153 5.334 8.37 5
0.21 5.286 8.542 5
0.248 5.305 8.599 5
0.248 5.305 8.695 5
0.248 5.248 8.714 5
0.268 5.286 8.676 5
0.239 5.295 8.609 5
0.287 5.248 8.523 5
0.296 5.257 8.532 5
0.325 5.315 8.379 5
0.287 5.315 8.303 5
0.287 5.305 8.216 5
0.306 5.353 8.149 5
0.316 5.41 8.063 5
0.373 5.372 8.006 5
0.306 5.372 7.977 5
0.344 5.353 7.852 5
0.277 5.324 7.891 5
0.335 5.391 7.805 5
0.325 5.391 7.881 5
0.316 5.372 7.833 5
0.354 5.391 7.843 5
0.383 5.391 7.852 5
0.411 5.382 7.929 5
0.459 5.353 7.977 5
0.478 5.43 8.073 5
0.43 5.43 8.149 5
0.421 5.43 8.274 5
0.402 5.41 8.312 5
0.44 5.353 8.379 5
0.402 5.372 8.465 5
0.373 5.41 8.427 5
0.421 5.363 8.427 5
0.421 5.363 8.456 5
0.421 5.458 8.331 5
0.45 5.401 8.264 5
0.43 5.324 8.245 5
0.43 5.363 8.197 5
0.45 5.276 8.245 5
0.373 5.42 8.082 5
0.277 5.372 8.14 5
0.277 5.353 8.188 5
0.258 5.382 8.178 5
0.21 5.343 8.264 5
0.162 5.324 8.207 5
0.114 5.391 8.255 5
0.105 5.343 8.379 5
0.038 5.363 8.475 5
0.134 5.353 8.513 5
0.191 5.315 8.532 5
0.21 5.315 8.552 5
0.239 5.305 8.59 5
0.229 5.315 8.58 5
0.258 5.363 8.504 5
0.248 5.343 8.532 5
0.201 5.324 8.312 5
0.181 5.257 8.341 5
0.229 5.276 8.264 5
0.134 5.257 8.169 5
0.095 5.248 8.111 5
0.124 5.276 8.13 5
0.057 5.305 8.054 5
0.105 5.324 8.121 5
0.153 5.343 8.197 5
0.172 5.238 8.216 5
0.153 5.248 8.322 5
0.153 5.238 8.341 5
0.057 5.305 8.37 5
0.028 5.305 8.312 5
0.038 5.219 8.35 5
0.057 5.238 8.331 5
0.105 5.267 8.312 5
0.114 5.248 8.303 5
0.172 5.248 8.245 5
0.162 5.248 8.216 5
0.239 5.315 8.216 5
0.181 5.257 8.178 5
0.201 5.334 8.121 5
0.124 5.295 8.188 5
0.105 5.305 8.14 5
0.143 5.257 8.169 5
0.114 5.315 8.188 5
0.114 5.248 8.236 5
0.057 5.248 8.226 5
0.076 5.324 8.245 5
0.095 5.276 8.245 5
0.172 5.334 8.207 5
0.201 5.295 8.293 5
0.22 5.324 8.341 5
0.248 5.334 8.341 5
0.21 5.363 8.398 5
0.258 5.372 8.389 5
0.316 5.382 8.437 5
0.316 5.334 8.437 5
0.268 5.372 8.398 5
0.335 5.372 8.389 5
0.325 5.43 8.379 5
0.316 5.41 8.274 5
0.277 5.41 8.207 5
0.316 5.43 8.188 5
0.335 5.439 8.159 5
0.335 5.43 8.121 5
0.325 5.43 8.006 5
0.344 5.401 7.987 5
0.325 5.43 7.967 5
0.335 5.449 8.073 5
0.344 5.449 8.111 5
0.344 5.449 8.236 5
0.363 5.41 8.255 5
0.344 5.41 8.437 5
0.335 5.391 8.504 5
0.306 5.42 8.552 5
0.277 5.391 8.552 5
0.248 5.305 8.571 5
0.201 5.343 8.475 5
0.239 5.248 8.437 5
0.229 5.276 8.236 5
0.201 5.238 8.207 5
0.181 5.248 8.121 5
0.191 5.248 8.073 5
0.21 5.295 8.054 5
0.22 5.286 8.063 5
0.239 5.334 8.063 5
0.21 5.324 8.054 5
0.21 5.238 8.169 5
0.172 5.286 8.216 5
0.134 5.257 8.197 5
0.162 5.257 8.255 5
0.114 5.248 8.293 5
0.191 5.257 8.36 5
0.153 5.257 8.322 5
0.201 5.305 8.36 5
0.201 5.276 8.312 5
0.248 5.305 8.226 5
0.248 5.248 8.245 5
0.239 5.267 8.14 5
0.258 5.228 8.159 5
0.248 5.295 8.169 5
0.201 5.276 8.111 5
0.22 5.353 8.159 5
0.229 5.343 8.216 5
0.22 5.276 8.188 5
0.277 5.353 8.245 5
0.248 5.334 8.293 5
0.229 5.315 8.379 5
0.248 5.382 8.331 5
0.325 5.382 8.37 5
0.335 5.42 8.341 5
0.325 5.391 8.293 5
0.354 5.458 8.35 5
0.344 5.439 8.255 5
0.325 5.468 8.226 5
0.277 5.487 8.13 5
0.296 5.401 8.13 5
0.325 5.42 8.197 5
0.316 5.382 8.082 5
0.277 5.382 8.226 5
0.239 5.343 8.245 5
0.268 5.315 8.35 5
0.248 5.276 8.389 5
0.248 5.276 8.322 5
0.287 5.334 8.437 5
0.296 5.324 8.475 5
0.325 5.315 8.475 5
0.277 5.267 8.59 5
0.287 5.295 8.552 5
0.296 5.276 8.561 5
0.277 5.276 8.427 5
0.22 5.305 8.465 5
0.239 5.334 8.398 5
0.172 5.267 8.341 5
0.172 5.257 8.322 5
0.191 5.276 8.255 5
0.153 5.267 8.13 5
0.229 5.295 8.169 5
0.22 5.305 8.13 5
0.287 5.295 8.283 5
0.287 5.363 8.149 5
0.296 5.334 8.159 5
0.268 5.305 8.245 5
0.363 5.324 8.303 5
0.277 5.305 8.408 5
0.287 5.324 8.312 5
0.229 5.334 8.379 5
0.239 5.324 8.35 5
0.21 5.286 8.322 5
0.229 5.295 8.283 5
0.201 5.295 8.293 5
0.229 5.334 8.264 5
0.258 5.324 8.236 5
0.258 5.276 8.264 5
0.258 5.324 8.216 5
0.229 5.276 8.303 5
0.239 5.267 8.331 5
